conversation_id,turn_index,role,content,tags,source_section
conv_1026,2,assistant,تنتهي عند انتهاء المدة وفق المادة (25) من قانون العمل، وتبذل المؤسسة جهدًا لدعم ذوي الأداء الجيد لإيجاد فرص داخلية أو خارجية.,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54)
conv_1027,0,system,أنت مساعد موارد بشرية.,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55)
conv_1027,1,user,ما أسباب إنهاء العمل لسبب معين؟,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55)
conv_1027,2,assistant,تقصير في الأداء، غياب غير مبرر، إساءة استخدام ممتلكات المؤسسة، خرق السرية، سوء سلوك جسيم، شبهات جنائية/أخلاقية، مع مراعاة التدرج وفق لائحة الجزاءات.,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55)
conv_1028,0,system,أنت مساعد حضور وانصراف.,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55)
conv_1028,1,user,ما ساعات العمل الرسمية؟,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55)
conv_1028,2,assistant,من الأحد إلى الخميس، 8:00–17:00، بإجمالي 42.5 ساعة أسبوعيًا. تغييرها يتطلب إذنًا خطيًا من الرئيس التنفيذي.,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55)
conv_1029,0,system,أنت مساعد حضور.,رمضان,الباب الأول > 3.3.1 رمضان (ص56)
conv_1029,1,user,ما ساعات العمل في رمضان؟,رمضان,الباب الأول > 3.3.1 رمضان (ص56)
conv_1029,2,assistant,8:30–15:00، بمتوسط 32.5 ساعة أسبوعيًا.,رمضان,الباب الأول > 3.3.1 رمضان (ص56)
conv_1030,0,system,أنت مساعد رواتب.,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57)
conv_1030,1,user,كيف يُدار العمل الإضافي؟,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57)
conv_1030,2,assistant,بموجب تكليف خطي مُسبق. يُحتسب وفق المادة (71) من قانون العمل الفلسطيني. ما لم تتم الموافقة يخضع الموظف للإجراءات التأديبية.,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57)
conv_1031,0,system,أنت مساعد موارد بشرية.,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58)
conv_1031,1,user,ما سياسة العمل في أيام العطل؟,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58)
conv_1031,2,assistant,يُتجنب العمل خلال العطل، وفي الحالات الطارئة يتم بموافقة الموظف وإذن خطي من الرئيس التنفيذي مع نماذج وكشوف معتمدة.,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58)
conv_1032,0,system,أنت مساعد تخطيط.,جداول_وتقارير,الباب الأول > 3.4 (ص58–60)
conv_1032,1,user,كيف تُدار الجداول الزمنية والتقارير؟,جداول_وتقارير,الباب الأول > 3.4 (ص58–60)
conv_1032,2,assistant,تفريغ كشف الساعات وتقرير المهام شهريًا (يوم 26)، تعتمد لإنجاز الرواتب وتقييم الأداء. التأخير: أول 15 دقيقة مسموح حتى 3 مرات شهريًا مع التعويض في نفس اليوم وإلا تُطبق الجزاءات.,جداول_وتقارير,الباب الأول > 3.4 (ص58–60)
conv_1033,0,system,أنت مساعد مالي.,دفع_الرواتب,الباب الأول > 3.5 إجراءات دفع الرواتب (ص61)
conv_1033,1,user,متى وكيف تُدفع الرواتب؟,دفع_الرواتب,الباب الأول > 3.5 إجراءات دفع الرواتب (ص61)
conv_1033,2,assistant,شهريًا عبر إيداع بنكي حتى اليوم الخامس من كل شهر.,دفع_الرواتب,الباب الأول > 3.5 إجراءات دفع الرواتب (ص61)
conv_1034,0,system,أنت مساعد مالي.,عملة_الراتب,الباب الأول > 3.5.1 عملة الراتب (ص61–62)
conv_1034,1,user,ما عملة الراتب؟ وكيف تُدار المشاريع بعملات مختلفة؟,عملة_الراتب,الباب الأول > 3.5.1 عملة الراتب (ص61–62)
conv_1034,2,assistant,الشيكل. للمشاريع بعملات أخرى، يتم الاحتساب بسعر الصرف المحلي يوم التحويل.,عملة_الراتب,الباب الأول > 3.5.1 عملة الراتب (ص61–62)
conv_1035,0,system,أنت مساعد تعويضات.,مرتبات_أولية,الباب الأول > 3.5.2 تحديد المرتبات الأولية (ص62)
conv_1035,1,user,كيف تحدد المرتبات الأولية؟,مرتبات_أولية,الباب الأول > 3.5.2 تحديد المرتبات الأولية (ص62)
conv_1035,2,assistant,بشكل واقعي وفق معدل الرواتب في فلسطين.,مرتبات_أولية,الباب الأول > 3.5.2 تحديد المرتبات الأولية (ص62)
conv_1036,0,system,أنت مساعد مالي.,تصنيف_الرواتب,الباب الأول > 3.5.3 تصنيف الرواتب (ص62)
conv_1036,1,user,ما أسس تصنيف الرواتب؟,تصنيف_الرواتب,الباب الأول > 3.5.3 تصنيف الرواتب (ص62)
conv_1036,2,assistant,سنوات الخبرة، المسمى، المؤهلات، تقييم الأداء، العلاوات. الوثيقة سرية داخلية.,تصنيف_الرواتب,الباب الأول > 3.5.3 تصنيف الرواتب (ص62)
conv_1037,0,system,أنت مساعد مالي.,بدل_مواصلات,الباب الأول > 3.5.4 بدل المواصلات (ص63–64)
conv_1037,1,user,كيف يُحسب بدل المواصلات؟,بدل_مواصلات,الباب الأول > 3.5.4 بدل المواصلات (ص63–64)
conv_1037,2,assistant,داخل المدينة بسيارة خاصة حتى 4 طن: 1 شيكل/كم. بين المدن: 0.7 شيكل/كم. لا تُغطى رحلة المنزل↔العمل.,بدل_مواصلات,الباب الأول > 3.5.4 بدل المواصلات (ص63–64)
conv_1038,0,system,أنت مساعد مالي.,بدل_اتصالات,الباب الأول > 3.5.5 بدل الاتصالات (ص65–67)
conv_1038,1,user,ما سياسة الهواتف المحمولة؟,بدل_اتصالات,الباب الأول > 3.5.5 بدل الاتصالات (ص65–67)
conv_1038,2,assistant,يُمنح هاتف لدرجة مدير فرع فأعلى، وتسدد المؤسسة قيمة الباقة المعتمدة فقط. الدقائق المجانية تُحول لرقم المؤسسة العام.,بدل_اتصالات,الباب الأول > 3.5.5 بدل الاتصالات (ص65–67)
conv_1039,0,system,أنت مساعد تعويضات.,زيادات_الرواتب,الباب الأول > 3.5.6 زيادات الرواتب (ص67–71)
conv_1039,1,user,ما أنواع زيادات الرواتب؟,زيادات_الرواتب,الباب الأول > 3.5.6 زيادات الرواتب (ص67–71)
conv_1039,2,assistant,ثلاثة: بناءً على تقييم الأداء، التقدم وإعادة التصنيف، وتعديل تكاليف المعيشة (غلاء المعيشة).,زيادات_الرواتب,الباب الأول > 3.5.6 زيادات الرواتب (ص67–71)
conv_1040,0,system,أنت مساعد أداء.,تقييم_الأداء,الباب الأول > 3.6 (ص67–69)
conv_1040,1,user,متى وكيف يتم تقييم الأداء؟,تقييم_الأداء,الباب الأول > 3.6 (ص67–69)
conv_1040,2,assistant,بعد ثلاثة أشهر وفي الربع الأخير سنويًا. وفق الوصف الوظيفي وإنجازات وفشل الموظف. التقييم الممتاز قد يوصي بزيادة راتب.,تقييم_الأداء,الباب الأول > 3.6 (ص67–69)
conv_1041,0,system,أنت مساعد موارد بشرية.,التقدم_وإعادة_تصنيف,الباب الأول > 3.6.1 (ص69–70)
conv_1041,1,user,ما سياسة التقدم وإعادة التصنيف؟,التقدم_وإعادة_تصنيف,الباب الأول > 3.6.1 (ص69–70)
conv_1041,2,assistant,تعزيز الموظفين عند أدائهم فوق المواصفات، وبموافقة الرئيس التنفيذي.,التقدم_وإعادة_تصنيف,الباب الأول > 3.6.1 (ص69–70)
conv_1042,0,system,أنت مساعد مالي.,غلاء_المعيشة,الباب الأول > 3.6.2 (ص71)
conv_1042,1,user,كيف تُدار علاوة غلاء المعيشة؟,غلاء_المعيشة,الباب الأول > 3.6.2 (ص71)
conv_1042,2,assistant,وفق القانون الساري والنسب التي تحددها الدولة.,غلاء_المعيشة,الباب الأول > 3.6.2 (ص71)
conv_1043,0,system,أنت مساعد مزايا.,التأمينات,الباب الأول > 3.7.1 (ص72–73)
conv_1043,1,user,ما التأمينات المتوفرة؟,التأمينات,الباب الأول > 3.7.1 (ص72–73)
conv_1043,2,assistant,تأمين إصابة عمل لجميع العاملين. والتأمين الصحي للعقود الطويلة (سنويًا) بمساهمة 50% من المؤسسة و50% من الموظف، والانضمام اختياري.,التأمينات,الباب الأول > 3.7.1 (ص72–73)
conv_1044,0,system,أنت مساعد مزايا.,أعياد_رسمية,الباب الأول > 3.7.2 (ص73)
conv_1044,1,user,هل الأعياد الرسمية تخصم من الإجازة السنوية؟,أعياد_رسمية,الباب الأول > 3.7.2 (ص73)
conv_1044,2,assistant,لا، هي إجازات مدفوعة لا تُحتسب من السنوية.,أعياد_رسمية,الباب الأول > 3.7.2 (ص73)
conv_1045,0,system,أنت مساعد حضور.,سياسة_المغادرة,الباب الأول > 3.7.3 (ص74–75)
conv_1045,1,user,ما سياسة المغادرة الساعية؟,سياسة_المغادرة,الباب الأول > 3.7.3 (ص74–75)
conv_1045,2,assistant,تُقدم عبر النظام المحوسب وتُخصم من السنوية عند تجميعها. حد المرة الواحدة 3 ساعات وبحد أقصى 8.5 ساعات شهريًا.,سياسة_المغادرة,الباب الأول > 3.7.3 (ص74–75)
conv_1046,0,system,أنت مساعد مزايا.,الإجازة_السنوية,الباب الأول > 3.7.4 (ص75–77)
conv_1046,1,user,كم رصيد الإجازة السنوية حسب الأقدمية؟,الإجازة_السنوية,الباب الأول > 3.7.4 (ص75–77)
conv_1046,2,assistant,14 يومًا لأول سنتين، 18 بعد سنتين، 21 بعد أربع سنوات. لا تُجمع لأكثر من سنتين متتاليتين.,الإجازة_السنوية,الباب الأول > 3.7.4 (ص75–77)
conv_1047,0,system,أنت مساعد مزايا.,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78)
conv_1047,1,user,ما الأعياد الرسمية بالتفصيل؟,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78)
conv_1047,2,assistant,رأس السنة الميلادية (1)، الإسراء والمعراج (1)، العمال (1)، الفطر (3+1 قبل العيد)، الأضحى (4+1 قبل العيد)، رأس السنة الهجرية (1)، المولد النبوي (1)، الاستقلال (1). للمسيحيين: الشعانين، أحد الفصح، عيد الميلاد (يوم قبل + يوم العيد + اليوم التالي). للنساء: يوم المرأة العالمي (8 آذار).,أيام_الأعياد_التفصيل,الباب الأول > 3.7.5 (ص78)
conv_1048,0,system,أنت مساعد مزايا.,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81)
conv_1048,1,user,ما الإجازة المرضية؟,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81)
conv_1048,2,assistant,14 يومًا بأجر كامل مع تقرير طبي (حتى لو ليوم واحد). عند استمرار المرض: 14 يومًا إضافية بنصف الراتب.,الإجازة_المرضية,الباب الأول > 3.7.6 (ص79–81)
conv_1049,0,system,أنت مساعد مزايا.,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82)
conv_1049,1,user,هل يمكن ترحيل الإجازة السنوية؟,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82)
conv_1049,2,assistant,يسمح بتجميع لعامين كحد أقصى. لا يمكن الاستعارة من العام القادم إلا استثنائيًا وبموافقة خطية من الرئيس التنفيذي.,سنوية_غير_مستخدمة,الباب الأول > 3.7.7 (ص81–82)
conv_1050,0,system,أنت مساعد مزايا.,مرضية_غير_مستخدمة,الباب الأول > 3.7.8 (ص82)
conv_1050,1,user,هل تُرحّل الإجازات المرضية؟,مرضية_غير_مستخدمة,الباب الأول > 3.7.8 (ص82)
