conversation_id,turn_index,role,content,tags,source_section,content_normalized
conv_1004,0,system,أنت مساعد موارد بشرية.,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27),انت مساعد موارد بشرية.
conv_1004,1,user,ما أخلاقيات العمل المعتمدة؟,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27),ما اخلاقيات العمل المعتمدة؟
conv_1004,2,assistant,الأمانة والصدق، الشفافية والنزاهة، التواضع، الشراكة بالمساواة، الاحترام وعدم الاستغلال، الولاء والثقة، الشغف، الإصرار.,أخلاقيات_العمل,الباب الأول > أخلاقيات العمل (ص26–27),الامانة والصدق، الشفافية والنزاهة، التواضع، الشراكة بالمساواة، الاحترام وعدم الاستغلال، الولاء والثقة، الشغف، الاصرار.
conv_1005,0,system,أنت مساعد موارد بشرية.,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28),انت مساعد موارد بشرية.
conv_1005,1,user,ما مفاتيح النجاح للاستمرار والتقدم؟,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28),ما مفاتيح النجاح للاستمرار والتقدم؟
conv_1005,2,assistant,أن تكون: مهنيًا جدًا، مبادرًا جدًا، باحثًا أصيلاً، وتعتمد العلم لا أنصاف المعلومات والفرضيات غير المدروسة.,مفاتيح_النجاح,الباب الأول > مفاتيح النجاح (ص27–28),ان تكون: مهنيا جدا، مبادرا جدا، باحثا اصيلا، وتعتمد العلم لا انصاف المعلومات والفرضيات غير المدروسة.
conv_1006,0,system,أنت مساعد موارد بشرية.,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29),انت مساعد موارد بشرية.
conv_1006,1,user,ما الآلية المقترحة لتسهيل العمل داخل المؤسسة؟,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29),ما الالية المقترحة لتسهيل العمل داخل المءسسة؟
conv_1006,2,assistant,مراجعة المواد قبل إرسالها، عدم الادعاء بغير المعرفة، اعتماد الشفافية بإرسال نسخ للمعنيين والمدير المباشر، والاستشارة فيما لست خبيرًا به أو تقوم به لأول مرة.,آليات_التسهيل,الباب الأول > آلية تسهيل العمل (ص28–29),مراجعة المواد قبل ارسالها، عدم الادعاء بغير المعرفة، اعتماد الشفافية بارسال نسخ للمعنيين والمدير المباشر، والاستشارة فيما لست خبيرا به او تقوم به لاول مرة.
conv_1007,0,system,أنت مساعد موارد بشرية.,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31),انت مساعد موارد بشرية.
conv_1007,1,user,ما هدف قسم شؤون الموظفين وما سياساته العامة؟,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31),ما هدف قسم شءون الموظفين وما سياساته العامة؟
conv_1007,2,assistant,الهدف: عرض السياسات والإجراءات المتعلقة بالتوظيف والدوام والرواتب والتقييم والترقيات وإنهاء الخدمات. السياسات: الموظفون أهم موجودات المؤسسة؛ بيئة مهنية؛ اعتماد الكفاءة والمؤهلات دون تمييز؛ الالتزام بقانون العمل الفلسطيني؛ توظيف ذوي الإعاقة قدر الإمكان؛ سلم رواتب معتدل؛ تقييم دوري للأداء.,شؤون_الموظفين,الباب الأول > 3. شؤون الموظفين (ص29–31),الهدف: عرض السياسات والاجراءات المتعلقة بالتوظيف والدوام والرواتب والتقييم والترقيات وانهاء الخدمات. السياسات: الموظفون اهم موجودات المءسسة؛ بيءة مهنية؛ اعتماد الكفاءة والمءهلات دون تمييز؛ الالتزام بقانون العمل الفلسطيني؛ توظيف ذوي الاعاقة قدر الامكان؛ سلم رواتب معتدل؛ تقييم دوري للاداء.
conv_1008,0,system,أنت مسؤول توظيف.,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31),انت مسءول توظيف.
conv_1008,1,user,كيف تُعرّف عملية التوظيف والاختيار؟,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31),كيف تعرف عملية التوظيف والاختيار؟
conv_1008,2,assistant,هي البحث واختيار الأكثر تأهلاً لشغل المنصب أو تنفيذ المهمة المطلوبة.,التوظيف_العملية,الباب الأول > 3.1.1 عملية التوظيف والاختيار (ص31),هي البحث واختيار الاكثر تاهلا لشغل المنصب او تنفيذ المهمة المطلوبة.
conv_1009,0,system,أنت مسؤول موارد بشرية.,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32),انت مسءول موارد بشرية.
conv_1009,1,user,ما محتويات قائمة المرجعية للوظيفة؟,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32),ما محتويات قاءمة المرجعية للوظيفة؟
conv_1009,2,assistant,المسمى والدرجة الوظيفية، الراتب الشهري المتوافق مع سلم الرواتب، مدة العقد/العمل، وصف موجز، وقائمة مفصلة بالمهام والمسؤوليات.,قائمة_مرجعية_وظيفة,الباب الأول > 3.1.2 قائمة المرجعية (ص32),المسمي والدرجة الوظيفية، الراتب الشهري المتوافق مع سلم الرواتب، مدة العقد/العمل، وصف موجز، وقاءمة مفصلة بالمهام والمسءوليات.
conv_1010,0,system,أنت مسؤول توظيف.,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33),انت مسءول توظيف.
conv_1010,1,user,ما معايير الاختيار؟,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33),ما معايير الاختيار؟
conv_1010,2,assistant,مزيج من المؤهلات العلمية والمهارات والخبرات والصفات الشخصية التي تثبت قدرة المرشح على أداء الوظيفة.,معايير_الاختيار,الباب الأول > 3.1.3 معايير الاختيار (ص33),مزيج من المءهلات العلمية والمهارات والخبرات والصفات الشخصية التي تثبت قدرة المرشح علي اداء الوظيفة.
conv_1011,0,system,أنت مسؤول توظيف.,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35),انت مسءول توظيف.
conv_1011,1,user,أين وكيف يتم الإعلان عن الوظائف؟,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35),اين وكيف يتم الاعلان عن الوظاءف؟
conv_1011,2,assistant,على أوسع نطاق: مواقع التوظيف، جريدة القدس، موقع المؤسسة، وسائل التواصل الاجتماعي. يجب موافقة الرئيس التنفيذي مسبقًا على كل إعلان.,إعلان_وظائف,الباب الأول > 3.1.4 الإعلان عن الوظائف (ص34–35),علي اوسع نطاق: مواقع التوظيف، جريدة القدس، موقع المءسسة، وساءل التواصل الاجتماعي. يجب موافقة الرءيس التنفيذي مسبقا علي كل اعلان.
conv_1012,0,system,أنت مساعد توظيف.,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36),انت مساعد توظيف.
conv_1012,1,user,من تتكون لجنة المقابلات؟,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36),من تتكون لجنة المقابلات؟
conv_1012,2,assistant,من ثلاثة موظفين على الأقل: مسؤول الموارد البشرية، المسؤول المباشر، وأي عضو يكلّفه الرئيس التنفيذي.,لجنة_الاختيار,الباب الأول > 3.1.5.1 لجان الاختيار (ص35–36),من ثلاثة موظفين علي الاقل: مسءول الموارد البشرية، المسءول المباشر، واي عضو يكلفه الرءيس التنفيذي.
conv_1013,0,system,أنت مساعد توظيف.,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37),انت مساعد توظيف.
conv_1013,1,user,ما خطوات فرز المرشحين والاختبارات؟,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37),ما خطوات فرز المرشحين والاختبارات؟
conv_1013,2,assistant,فرز السير ذاتيًا، ثم دعوة المؤهلين لامتحان كتابي لفحص القدرات، ثم مقابلة أولية بحسب النتائج، ثم اختيار أفضل ثلاثة لمقابلة ثانية مع الرئيس التنفيذي.,عملية_الاختيار,الباب الأول > 3.1.5.2 عملية الاختيار (ص36–37),فرز السير ذاتيا، ثم دعوة المءهلين لامتحان كتابي لفحص القدرات، ثم مقابلة اولية بحسب النتاءج، ثم اختيار افضل ثلاثة لمقابلة ثانية مع الرءيس التنفيذي.
conv_1014,0,system,أنت مسؤول موارد بشرية.,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38),انت مسءول موارد بشرية.
conv_1014,1,user,كيف يتم التحقق من المعرفين؟,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38),كيف يتم التحقق من المعرفين؟
conv_1014,2,assistant,بتعبئة نموذج التحقق المعتمد والحصول على أسماء وبيانات اتصال المعرفين بإذن المرشح.,التحقق_من_المعرفين,الباب الأول > 3.1.5.3 التحقق من المعرفين (ص38),بتعبءة نموذج التحقق المعتمد والحصول علي اسماء وبيانات اتصال المعرفين باذن المرشح.
conv_1015,0,system,أنت مساعد توظيف.,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38),انت مساعد توظيف.
conv_1015,1,user,كيف تُستكمل الموافقات النهائية؟,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38),كيف تستكمل الموافقات النهاءية؟
conv_1015,2,assistant,يُعد مسؤول الموارد البشرية تقرير لجنة التوظيف بنتائج وآلية الاختيار ثم يُحال للجنة والرئيس التنفيذي للموافقة النهائية.,موافقة_التوظيف,الباب الأول > 3.1.5.4 الموافقات (ص38),يعد مسءول الموارد البشرية تقرير لجنة التوظيف بنتاءج والية الاختيار ثم يحال للجنة والرءيس التنفيذي للموافقة النهاءية.
conv_1016,0,system,أنت مساعد توظيف.,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39),انت مساعد توظيف.
conv_1016,1,user,ما الامتحانات المستخدمة؟,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39),ما الامتحانات المستخدمة؟
conv_1016,2,assistant,امتحان كتابي لتقييم المعرفة والمهارات والخبرة. وللوظائف العليا فقط: امتحان شخصية Insight Discovery للتأكد من الملاءمة.,امتحانات_التوظيف,الباب الأول > 3.1.5.5 عملية التوظيف (ص39),امتحان كتابي لتقييم المعرفة والمهارات والخبرة. وللوظاءف العليا فقط: امتحان شخصية Insight Discovery للتاكد من الملاءمة.
conv_1017,0,system,أنت مساعد توظيف.,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40),انت مساعد توظيف.
conv_1017,1,user,ما خطوات طلب إجراء تعاقد؟,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40),ما خطوات طلب اجراء تعاقد؟
conv_1017,2,assistant,يقدّم المسؤول المباشر الطلب محددًا المهام، الدوام، الراتب، والشروط. بعد مصادقة الرئيس التنفيذي يُرسل عرض العمل ثم يُحضّر عقد العمل.,طلب_إجراء_تعاقد,الباب الأول > 3.1.5.6 طلب إجراء تعاقد (ص40),يقدم المسءول المباشر الطلب محددا المهام، الدوام، الراتب، والشروط. بعد مصادقة الرءيس التنفيذي يرسل عرض العمل ثم يحضر عقد العمل.
conv_1018,0,system,أنت مساعد قانوني.,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43),انت مساعد قانوني.
conv_1018,1,user,ما أنواع عقود العمل وفترة التجربة؟,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43),ما انواع عقود العمل وفترة التجربة؟
conv_1018,2,assistant,تبدأ بفترة تجربة ثلاثة أشهر (لا تُكرر). الأنواع: عقد مؤقت محدد المدة (حتى 12 شهرًا، والتجديد لا يتجاوز سنتين متتاليتين)، وعقد دائم بعد عامين، وعقود توريد خدمات للمستشارين والخبراء.,عقود_العمل,الباب الأول > 3.1.5.7 عقود العمل (ص40–43),تبدا بفترة تجربة ثلاثة اشهر (لا تكرر). الانواع: عقد مءقت محدد المدة (حتي 12 شهرا، والتجديد لا يتجاوز سنتين متتاليتين)، وعقد داءم بعد عامين، وعقود توريد خدمات للمستشارين والخبراء.
conv_1019,0,system,أنت مساعد موارد بشرية.,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44),انت مساعد موارد بشرية.
conv_1019,1,user,ما المهام الإدارية عند تعيين موظف جديد؟,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44),ما المهام الادارية عند تعيين موظف جديد؟
conv_1019,2,assistant,استكمال ملف الموظف والتواقيع والتحديثات الدورية، وتزويد الموظف والمالية بنسخ من الكتب الرسمية الصادرة له.,شؤون_إدارية_للجدد,الباب الأول > 3.1.6.1 الأمور الإدارية (ص44),استكمال ملف الموظف والتواقيع والتحديثات الدورية، وتزويد الموظف والمالية بنسخ من الكتب الرسمية الصادرة له.
conv_1020,0,system,أنت مسؤول ملفات.,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46),انت مسءول ملفات.
conv_1020,1,user,ما الوثائق المطلوبة لملف الموظف؟,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46),ما الوثاءق المطلوبة لملف الموظف؟
conv_1020,2,assistant,صورة شخصية، طلب عمل، نتيجة الامتحان الكتابي، نتيجة امتحان الشخصية (للعليا)، سيرة ذاتية، تقرير لجنة التوظيف، هوية/جواز، نموذج الحفاظ على السرية/NDA، عقد العمل والوصف الوظيفي، الشهادات العلمية والعملية، تقييم الأداء، كتب وأوامر التكليف، معلومات الحساب البنكي، تفويضات، مخالصات وبراءة ذمة، وكتب رسمية.,وثائق_ملف_الموظف,الباب الأول > 3.1.6.2 الوثائق المطلوبة (ص45–46),صورة شخصية، طلب عمل، نتيجة الامتحان الكتابي، نتيجة امتحان الشخصية (للعليا)، سيرة ذاتية، تقرير لجنة التوظيف، هوية/جواز، نموذج الحفاظ علي السرية/NDA، عقد العمل والوصف الوظيفي، الشهادات العلمية والعملية، تقييم الاداء، كتب واوامر التكليف، معلومات الحساب البنكي، تفويضات، مخالصات وبراءة ذمة، وكتب رسمية.
conv_1021,0,system,أنت مساعد نظم.,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47),انت مساعد نظم.
conv_1021,1,user,ما الذي يُوفَّر للموظف لبدء العمل؟,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47),ما الذي يوفر للموظف لبدء العمل؟
conv_1021,2,assistant,بريد إلكتروني، صلاحيات على الخادم، حساب على النظام المالي والإداري، وعهدة (حاسوب وبطاقة موظف) مع توقيع نموذج الاستلام.,احتياجات_الخدمة,الباب الأول > 3.1.6.3 احتياجات الموظف (ص46–47),بريد الكتروني، صلاحيات علي الخادم، حساب علي النظام المالي والاداري، وعهدة (حاسوب وبطاقة موظف) مع توقيع نموذج الاستلام.
conv_1022,0,system,أنت مساعد قانوني.,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47),انت مساعد قانوني.
conv_1022,1,user,ما المقصود بإنهاء الخدمة؟,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47),ما المقصود بانهاء الخدمة؟
conv_1022,2,assistant,هو قطع نهائي وغير قابل للإلغاء لعلاقة العمل، وفق الحالات التي نص عليها القانون أو السياسة.,إنهاء_الخدمة_تعريف,الباب الأول > 3.2 إنهاء الخدمة (ص47),هو قطع نهاءي وغير قابل للالغاء لعلاقة العمل، وفق الحالات التي نص عليها القانون او السياسة.
conv_1023,0,system,أنت مساعد قانوني.,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49),انت مساعد قانوني.
conv_1023,1,user,ما إجراءات الاستقالة ومكافأة نهاية الخدمة؟,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49),ما اجراءات الاستقالة ومكافاة نهاية الخدمة؟
conv_1023,2,assistant,تُقدَّم استقالة خطية قبل شهر. تُصرف مكافأة نهاية الخدمة وبدل الإجازات وفق قانون العمل: ثلث أجر عن كل سنة (1–5 سنوات)، ثلثي أجر (5–10)، وأجر شهر عن كل سنة (10+). تحتسب على آخر أجر أساسي دون الإضافي.,استقالة,الباب الأول > 3.2.1 الاستقالة (ص47–49),تقدم استقالة خطية قبل شهر. تصرف مكافاة نهاية الخدمة وبدل الاجازات وفق قانون العمل: ثلث اجر عن كل سنة (1-5 سنوات)، ثلثي اجر (5-10)، واجر شهر عن كل سنة (10+). تحتسب علي اخر اجر اساسي دون الاضافي.
conv_1024,0,system,أنت مساعد قانوني.,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51),انت مساعد قانوني.
conv_1024,1,user,كيف تُدار إجراءات إنهاء العقد؟,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51),كيف تدار اجراءات انهاء العقد؟
conv_1024,2,assistant,يتولى الموارد البشرية الإجراءات، ويُتوقع إشعار خطي قبل شهر. عند إنهاء المؤسسة للعقد بعد استنفاد وسائل الإصلاح يُبلغ الموظف بكتاب فصل موقّع من الرئيس التنفيذي قبل شهر وتصرف مكافأة نهاية الخدمة (أجر شهر/سنة).,إجراءات_الإنهاء,الباب الأول > 3.2.2 الإجراءات النهائية (ص50–51),يتولي الموارد البشرية الاجراءات، ويتوقع اشعار خطي قبل شهر. عند انهاء المءسسة للعقد بعد استنفاد وساءل الاصلاح يبلغ الموظف بكتاب فصل موقع من الرءيس التنفيذي قبل شهر وتصرف مكافاة نهاية الخدمة (اجر شهر/سنة).
conv_1025,0,system,أنت مساعد قانوني.,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53),انت مساعد قانوني.
conv_1025,1,user,متى تُنهى الخدمات لأسباب غير متوقعة؟,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53),متي تنهي الخدمات لاسباب غير متوقعة؟
conv_1025,2,assistant,عند إعادة الهيكلة، حل المؤسسة لأسباب سياسية/اقتصادية، أو لأسباب مالية. تمنح المؤسسة إشعارًا 30 يومًا أو بدل إشعار، وتُعاد الممتلكات فورًا وتُصرف المستحقات خلال 30 يومًا.,ظروف_غير_متوقعة,الباب الأول > 3.2.3 ظروف غير متوقعة (ص52–53),عند اعادة الهيكلة، حل المءسسة لاسباب سياسية/اقتصادية، او لاسباب مالية. تمنح المءسسة اشعارا 30 يوما او بدل اشعار، وتعاد الممتلكات فورا وتصرف المستحقات خلال 30 يوما.
conv_1026,0,system,أنت مساعد مشاريع.,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54),انت مساعد مشاريع.
conv_1026,1,user,ما وضع عقود المحدد المدة عند انتهاء المشروع؟,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54),ما وضع عقود المحدد المدة عند انتهاء المشروع؟
conv_1026,2,assistant,تنتهي عند انتهاء المدة وفق المادة (25) من قانون العمل، وتبذل المؤسسة جهدًا لدعم ذوي الأداء الجيد لإيجاد فرص داخلية أو خارجية.,إنجاز_مشروع,الباب الأول > 3.2.4 الإحالة/إنجاز المشروع (ص53–54),تنتهي عند انتهاء المدة وفق المادة (25) من قانون العمل، وتبذل المءسسة جهدا لدعم ذوي الاداء الجيد لايجاد فرص داخلية او خارجية.
conv_1027,0,system,أنت مساعد موارد بشرية.,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55),انت مساعد موارد بشرية.
conv_1027,1,user,ما أسباب إنهاء العمل لسبب معين؟,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55),ما اسباب انهاء العمل لسبب معين؟
conv_1027,2,assistant,تقصير في الأداء، غياب غير مبرر، إساءة استخدام ممتلكات المؤسسة، خرق السرية، سوء سلوك جسيم، شبهات جنائية/أخلاقية، مع مراعاة التدرج وفق لائحة الجزاءات.,إنذارات_وإنهاء,الباب الأول > 3.2.5 الإنذارات وإنهاء لسبب (ص54–55),تقصير في الاداء، غياب غير مبرر، اساءة استخدام ممتلكات المءسسة، خرق السرية، سوء سلوك جسيم، شبهات جناءية/اخلاقية، مع مراعاة التدرج وفق لاءحة الجزاءات.
conv_1028,0,system,أنت مساعد حضور وانصراف.,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55),انت مساعد حضور وانصراف.
conv_1028,1,user,ما ساعات العمل الرسمية؟,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55),ما ساعات العمل الرسمية؟
conv_1028,2,assistant,من الأحد إلى الخميس، 8:00–17:00، بإجمالي 42.5 ساعة أسبوعيًا. تغييرها يتطلب إذنًا خطيًا من الرئيس التنفيذي.,ساعات_العمل,الباب الأول > 3.3 ساعات العمل (ص55),من الاحد الي الخميس، 8:00-17:00، باجمالي 42.5 ساعة اسبوعيا. تغييرها يتطلب اذنا خطيا من الرءيس التنفيذي.
conv_1029,0,system,أنت مساعد حضور.,رمضان,الباب الأول > 3.3.1 رمضان (ص56),انت مساعد حضور.
conv_1029,1,user,ما ساعات العمل في رمضان؟,رمضان,الباب الأول > 3.3.1 رمضان (ص56),ما ساعات العمل في رمضان؟
conv_1029,2,assistant,8:30–15:00، بمتوسط 32.5 ساعة أسبوعيًا.,رمضان,الباب الأول > 3.3.1 رمضان (ص56),8:30-15:00، بمتوسط 32.5 ساعة اسبوعيا.
conv_1030,0,system,أنت مساعد رواتب.,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57),انت مساعد رواتب.
conv_1030,1,user,كيف يُدار العمل الإضافي؟,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57),كيف يدار العمل الاضافي؟
conv_1030,2,assistant,بموجب تكليف خطي مُسبق. يُحتسب وفق المادة (71) من قانون العمل الفلسطيني. ما لم تتم الموافقة يخضع الموظف للإجراءات التأديبية.,عمل_إضافي,الباب الأول > 3.3.2 العمل الإضافي (ص56–57),بموجب تكليف خطي مسبق. يحتسب وفق المادة (71) من قانون العمل الفلسطيني. ما لم تتم الموافقة يخضع الموظف للاجراءات التاديبية.
conv_1031,0,system,أنت مساعد موارد بشرية.,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58),انت مساعد موارد بشرية.
conv_1031,1,user,ما سياسة العمل في أيام العطل؟,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58),ما سياسة العمل في ايام العطل؟
conv_1031,2,assistant,يُتجنب العمل خلال العطل، وفي الحالات الطارئة يتم بموافقة الموظف وإذن خطي من الرئيس التنفيذي مع نماذج وكشوف معتمدة.,العمل_في_العطل,الباب الأول > 3.3.3 العطل (ص57–58),يتجنب العمل خلال العطل، وفي الحالات الطارءة يتم بموافقة الموظف واذن خطي من الرءيس التنفيذي مع نماذج وكشوف معتمدة.
conv_1032,0,system,أنت مساعد تخطيط.,جداول_وتقارير,الباب الأول > 3.4 (ص58–60),انت مساعد تخطيط.
conv_1032,1,user,كيف تُدار الجداول الزمنية والتقارير؟,جداول_وتقارير,الباب الأول > 3.4 (ص58–60),كيف تدار الجداول الزمنية والتقارير؟
